"tract","Name","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_p25"
48491020203,"Sun City, Georgetown, TX",0.8151
32003002303,"Las Vegas, NV",0.7372
36047080800,"Kings County, NY",0.7331
6075012601,"Marina District, San Francisco, CA",0.6273
34021004304,"West Windsor Township, NJ",0.6047
6013355116,"San Ramon, CA",0.5861
9001045300,"Wilton, CT",0.5791
12086007801,"Miami, FL",0.5657
36081099705,"Queens County, NY",0.5648
36047020200,"Kings County, NY",0.5593
6037108202,"Northridge, Los Angeles, CA",0.5587
36059406501,"Garden City, NY",0.5557
18157005400,"West Lafayette, IN",0.5547
34027044200,"Morristown, NJ",0.5532
22071012102,"Uptown/Carrollton, New Orleans, LA",0.5518
6037262400,"Brentwood, Los Angeles, CA",0.5498
51059480203,"Tysons, VA",0.5434
26161415600,"Ann Arbor, MI",0.5375
36059406400,"Garden City, NY",0.5353
51107611012,"Ashburn, VA",0.5352
6081608001,"Foster City, CA",0.5329
24031701002,"Rockville, MD",0.5324
51059470100,"McLean, VA",0.5315
51059481201,"Reston, VA",0.5311
36059518800,"Syosset, NY",0.528
6001443103,"Fremont, CA",0.5272
38053962300,"Watford City, ND",0.5252
42101008801,"West Philadelphia, Philadelphia, PA",0.5204
17031070102,"Lincoln Park, Chicago, IL",0.5199
9001055100,"Weston, CT",0.5171
48201411400,"River Oaks, Houston, TX",0.5168
4021001708,"Maricopa, AZ",0.5168
51059491701,"Fairfax, VA",0.5152
36119010600,"Ardsley, NY",0.5145
34025812400,"Deal, NJ",0.5144
36061014700,"Lincoln Square, New York, NY",0.5125
6037265420,"Westwood, Los Angeles, CA",0.5109
6075012602,"Marina District, San Francisco, CA",0.5108
36059412500,"Rockville Centre, NY",0.5102
36059406300,"Garden City, NY",0.5101
9001090100,"Trumbull, CT",0.5101
51700050305,,0.508
36059415500,"North Wantagh, Seaford, NY",0.5049
36047061200,"Kings County, NY",0.5024
24005490701,"Towson, MD",0.5019
25013813303,"Longmeadow, MA",0.5011
48085030520,"Dominion at Panther Creek, Frisco, TX",0.4992
26125191300,"Rochester, MI",0.4991
6037141500,"Encino, Los Angeles, CA",0.499
36081114100,"Queens County, NY",0.4985
25017357100,"Belmont, MA",0.4973
6001450752,"Dublin, CA",0.4963
48201430400,"Memorial, Houston, TX",0.4958
36047045000,"Kings County, NY",0.4949
48201451902,"George Bush Park/Eldridge, Houston, TX",0.4942
48113019301,"Park Cities, Dallas, TX",0.4938
42017104304,"New Hope, PA",0.4934
24005403803,"Pikesville, MD",0.4911
51059481500,"Reston, VA",0.4902
13089020200,"Druid Hills, Atlanta, GA",0.4901
36081129102,"Queens County, NY",0.4894
12021010215,"Pelican Bay, Naples, FL",0.4883
8117000402,"Breckenridge, CO",0.4875
37135011602,"Chapel Hill, NC",0.487
9001035200,"New Canaan, CT",0.4865
42091204800,"Gladwyne, PA",0.4864
13067031212,"Atlanta, GA",0.4857
36059301500,"Plandome, NY",0.4846
42101013401,"Fairmount, Philadelphia, PA",0.4844
6037574602,"Bixby Hill, Long Beach, CA",0.4831
36085013201,"Richmond County, NY",0.4831
42101000300,"Center City, Philadelphia, PA",0.4827
6067008702,"Gold River, CA",0.4823
36047004400,"Kings County, NY",0.4818
51059415600,"Alexandria, VA",0.4818
51153901410,"Linton Hall, Bristow, VA",0.4815
